1. FracLac 2015Sep090313a9330: File Slice (ROI) start position	2. Number (Ǥɴ) in SET (Ǥ) of SCAN POSITIONS (ɢ)	3. SCAN TYPE for Dʙ	4. Formula for FRACTAL DIMENSION (D) for Dʙ	5. Y₍ø₎ for the SET (Ø) of ALL (Øɴ) sampling ELEMENT SIZES (ø) for Dʙ	6. D̅ = ∑D₍ɢ₎∕Ǥɴ ∀ ɢ∈Ǥ for Dʙ	7. STANDARD DEVIATION (σ) for D for Dʙ	8. MIN for D for Dʙ	9. MAX for D for Dʙ	10. ⋆D (D with highest r²) for Dʙ	11. ⋆r² for Dʙ	12. ⋆SE for Dʙ	13. ⋆Y-INT for Dʙ	14. SCAN TYPE for Dʍ	15. Formula for FRACTAL DIMENSION (D) for Dʍ	16. Y₍ø₎ for the SET (Ø) of ALL (Øɴ) sampling ELEMENT SIZES (ø) for Dʍ	17. D̅ = ∑D₍ɢ₎∕Ǥɴ ∀ ɢ∈Ǥ for Dʍ	18. STANDARD DEVIATION (σ) for D for Dʍ	19. MIN for D for Dʍ	20. MAX for D for Dʍ	21. ⋆D (D with highest r²) for Dʍ	22. ⋆r² for Dʍ	23. ⋆SE for Dʍ	24. ⋆Y-INT for Dʍ	25. SCAN TYPE for D͞ᵪ	26. ⋆D (D with highest r²) for D͞ᵪ	27. ⋆r² for D͞ᵪ	28. ⋆SE for D͞ᵪ	29. ⋆Y-INT for D͞ᵪ	30. SCAN TYPE for Dʙ↓	31. ⋆D (D with highest r²) for Dʙ↓	32. ⋆r² for Dʙ↓	33. ⋆SE for Dʙ↓	34. ⋆Y-INT for Dʙ↓	35. SCAN TYPE for Dʙ↑	36. ⋆D (D with highest r²) for Dʙ↑	37. ⋆r² for Dʙ↑	38. ⋆SE for Dʙ↑	39. ⋆Y-INT for Dʙ↑	40. SCAN TYPE for Dʙ₍ss₎	41. D̅ = ∑D₍ɢ₎∕Ǥɴ ∀ ɢ∈Ǥ for Dʙ₍ss₎	42. STANDARD DEVIATION (σ) for D for Dʙ₍ss₎	43. CV (σ/μ) for D  for Dʙ₍ss₎	44. ⋆D (D with highest r²) for Dʙ₍ss₎	45. ⋆r² for Dʙ₍ss₎	46. ⋆SE for Dʙ₍ss₎	47. ⋆Y-INT for Dʙ₍ss₎	48. Mean Number Of Sizes = (∑Øɴ₍ɢ₎)/Ǥɴ for Dʙ₍ss₎	49. SCAN TYPE for Dʙ₍sʙ₎	50. D̅ = ∑D₍ɢ₎∕Ǥɴ ∀ ɢ∈Ǥ for Dʙ₍sʙ₎	51. STANDARD DEVIATION (σ) for D for Dʙ₍sʙ₎	52. CV (σ/μ) for D  for Dʙ₍sʙ₎	53. ⋆D (D with highest r²) for Dʙ₍sʙ₎	54. ⋆r² for Dʙ₍sʙ₎	55. ⋆SE for Dʙ₍sʙ₎	56. ⋆Y-INT for Dʙ₍sʙ₎	57. Mean Number Of Sizes = (∑Øɴ₍ɢ₎)/Ǥɴ for Dʙ₍sʙ₎	58. SCAN TYPE for Dʙ₍s₎	59. D̅ = ∑D₍ɢ₎∕Ǥɴ ∀ ɢ∈Ǥ for Dʙ₍s₎	60. STANDARD DEVIATION (σ) for D for Dʙ₍s₎	61. CV (σ/μ) for D  for Dʙ₍s₎	62. ⋆D (D with highest r²) for Dʙ₍s₎	63. ⋆r² for Dʙ₍s₎	64. ⋆SE for Dʙ₍s₎	65. ⋆Y-INT for Dʙ₍s₎	66. Mean Number Of Sizes = (∑Øɴ₍ɢ₎)/Ǥɴ for Dʙ₍s₎	67. SCAN TYPE for Dʙ↓₍ss₎	68. ⋆D (D with highest r²) for Dʙ↓₍ss₎	69. ⋆r² for Dʙ↓₍ss₎	70. ⋆SE for Dʙ↓₍ss₎	71. ⋆Y-INT for Dʙ↓₍ss₎	72. SCAN TYPE for Dʙ↓₍sʙ₎	73. ⋆D (D with highest r²) for Dʙ↓₍sʙ₎	74. ⋆r² for Dʙ↓₍sʙ₎	75. ⋆SE for Dʙ↓₍sʙ₎	76. ⋆Y-INT for Dʙ↓₍sʙ₎	77. SCAN TYPE for Dʙ↑₍ss₎	78. ⋆D (D with highest r²) for Dʙ↑₍ss₎	79. ⋆r² for Dʙ↑₍ss₎	80. ⋆SE for Dʙ↑₍ss₎	81. ⋆Y-INT for Dʙ↑₍ss₎	82. SCAN TYPE for Dʙ↑₍sʙ₎	83. ⋆D (D with highest r²) for Dʙ↑₍sʙ₎	84. ⋆r² for Dʙ↑₍sʙ₎	85. ⋆SE for Dʙ↑₍sʙ₎	86. ⋆Y-INT for Dʙ↑₍sʙ₎	87. LACUNARITY for Image (Ｌ) = ∑Λ₍ɢ₎∕Ǥɴ ∀ ɢ∈Ǥ	88. CV  for Ｌ	89. MIN  for Ｌ	90. MAX  for Ｌ	91. Formula for Λ₍ɢ₎	92. λ₍ø₎ = (CV)² = (σ∕μ)²	93. Ｌ′ = MEAN Λ′₍ɢ₎ | Λ′₍ɢ₎ = REGRESSION LINE SLOPE for ln(λ₍ø₎+1) vs ln(ø)	94. CV for Λ′₍ɢ₎	95. Λ′₍ɢ₎Avg Cover = MEAN REGRESSION LINE SLOPE for ln(λ₍ø₎+1) vs ln(ø)	96. ＬΩ = Ｌ for λΩ	97. λΩ	98. CV for ＬΩ	99. MEAN DΛ₍ɢ₎ = MEAN (slope[lnσ vs lnε]) - ((slope[lnλε, vs lnε])/2)	100. LACUNARITY for Image (Ｌ) = ∑Λ₍ɢ₎∕Ǥɴ ∀ ɢ∈Ǥ for Probabilities	101. CV  for Ｌ for Probabilities	102. ＬΩ = Ｌ for λΩ for Probabilities	103. CV for ＬΩ for Probabilities	104. LACUNARITY for Image (Ｌ) = ∑Λ₍ɢ₎∕Ǥɴ ∀ ɢ∈Ǥ for Weighted Probability Distribution	105. CV  for Ｌ for Weighted Probability Distribution	106. ＬΩ = Ｌ for λΩ for Weighted Probability Distribution	107. CV for ＬΩ for Weighted Probability Distribution	108. LACUNARITY for Image (Ｌ) = ∑Λ₍ɢ₎∕Ǥɴ ∀ ɢ∈Ǥ for Probabilities∕bins	109. CV  for Ｌ for Probabilities∕bins	110. ＬΩ = Ｌ for λΩ for Probabilities∕bins	111. CV for ＬΩ for Probabilities∕bins	112. LACUNARITY for Image (Ｌ) = ∑Λ₍ɢ₎∕Ǥɴ ∀ ɢ∈Ǥ for Weighted Probability Distribution∕bins	113. CV  for Ｌ for Weighted Probability Distribution∕bins	114. ＬΩ = Ｌ for λΩ for Weighted Probability Distribution∕bins	115. CV for ＬΩ for Weighted Probability Distribution∕bins	116. C͞V for Count = ∑C (σ∕μ)₍ɢ₎∕Ǥɴ ∀ ɢ∈Ǥ	117. C͞V for Count∕C͞V for Ω	118. MEAN FOREGROUND PIXELS	119. STD DEV FOREGROUND PIXELS	120. TOTAL PIXELS	121. SAMPLING ELEMENT	122. Minimum Pixel Density Limit	123. Maximum Pixel Density Limit	124. Øɴ	125. Mean Minimum ø	126. Mean Maximum ø	127. Standard Deviation in Ø∀ ɢ∈Ǥ	128. Horizontal Slide	129. Vertical Slide	130. Foreground Colour	131. Density = Foreground Pixels/Hull Area	132. Span Ratio (major/minor axis)	133. Hull's Centre of Mass	134. Maximum Span Across Hull	135. Area	136. Perimeter	137. Circularity	138. Width of Bounding Rectangle	139. Height of Bounding Rectangle	140. Maximum Radius from Hull's Centre of Mass	141. Max/Min Radii	142. CV for all Radii	143. Mean Radius	144. Circle's Centre	145. Diameter of Bounding Circle	146. Maximum Radius from Circle's Centre	147. Max/Min Radii from Circle's Centre	148. CV for all Radii from Circle's Centre	149. Mean Radius from Circle's Centre	150. Method Used to Calculate Circle	
H120231220GER-01-20231222_10_22cuttifŞ1_ (0, 0_2112x2112) -6,-6---6,-6 	55298	Dʙ₍ɢ₎ = Local Connected Fractal Dimension Binary; No filters; white; Save Results	(-)regression line slope for ln(Y₍ø₎) vs ln(ø) ∀ ø∈Ø	Y₍ɢ,ø₎ = Foreground pixels (F) per sample of size ø in connected set centered on each ɢ	1.6403	0.2993	0	1.9676	0	0	0	0	Dʍ₍ɢ₎ = Local Connected Fractal Dimension Binary; No filters; white; Save Results	(-)regression line slope for ln(Y₍ø₎) vs ln(ø) ∀ ø∈Ø	Y₍ɢ,ø₎ = F per sample of size ø centered on each ɢ	-1.6897	0.2106	-1.9676	-0	-0	0	0	0	D͞ᵪ = Local Connected Fractal Dimension Binary; No filters; white; Save Results Average Cover	1.7092	0.9987	0.0603	13.0897	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	0.0928	0.4778	0	0.1369	S∕Øɴ | S = ∑λ₍ø₎ ∀ ø∈Ø	 for  Foreground Pixels (F) Per Sample at Size ø	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	1379118	Not Calculated	4460544	Oval	Not Calculated	Not Calculated	7	1	13	0	5	5	black 0	Infinity	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	
H120231220GER-02-20231222_10_22cuttifŞ1_ (0, 0_2112x2112) -6,-6---6,-6 	44254	Dʙ₍ɢ₎ = Local Connected Fractal Dimension Binary; No filters; white; Save Results	(-)regression line slope for ln(Y₍ø₎) vs ln(ø) ∀ ø∈Ø	Y₍ɢ,ø₎ = Foreground pixels (F) per sample of size ø in connected set centered on each ɢ	1.5867	0.3127	0	1.9715	0	0	0	0	Dʍ₍ɢ₎ = Local Connected Fractal Dimension Binary; No filters; white; Save Results	(-)regression line slope for ln(Y₍ø₎) vs ln(ø) ∀ ø∈Ø	Y₍ɢ,ø₎ = F per sample of size ø centered on each ɢ	-1.6387	0.2281	-1.9715	-0	-0	0	0	0	D͞ᵪ = Local Connected Fractal Dimension Binary; No filters; white; Save Results Average Cover	1.662	0.9985	0.063	12.7464	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	0.1037	0.4778	0	0.1508	S∕Øɴ | S = ∑λ₍ø₎ ∀ ø∈Ø	 for  Foreground Pixels (F) Per Sample at Size ø	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	1105709	Not Calculated	4460544	Oval	Not Calculated	Not Calculated	7	1	13	0	5	5	black 0	Infinity	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	
H120231220GER-03-20231222_10_22cuttifŞ1_ (0, 0_2112x2112) -6,-6---6,-6 	48220	Dʙ₍ɢ₎ = Local Connected Fractal Dimension Binary; No filters; white; Save Results	(-)regression line slope for ln(Y₍ø₎) vs ln(ø) ∀ ø∈Ø	Y₍ɢ,ø₎ = Foreground pixels (F) per sample of size ø in connected set centered on each ɢ	1.5833	0.3097	0	1.9743	0	0	0	0	Dʍ₍ɢ₎ = Local Connected Fractal Dimension Binary; No filters; white; Save Results	(-)regression line slope for ln(Y₍ø₎) vs ln(ø) ∀ ø∈Ø	Y₍ɢ,ø₎ = F per sample of size ø centered on each ɢ	-1.6404	0.2138	-1.9743	-0	-0	0	0	0	D͞ᵪ = Local Connected Fractal Dimension Binary; No filters; white; Save Results Average Cover	1.6573	0.9985	0.0621	12.7079	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	0.1022	0.4695	0	0.1459	S∕Øɴ | S = ∑λ₍ø₎ ∀ ø∈Ø	 for  Foreground Pixels (F) Per Sample at Size ø	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	1203358	Not Calculated	4460544	Oval	Not Calculated	Not Calculated	7	1	13	0	5	5	black 0	Infinity	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	
H120231220GER-04-20231222_10_22cuttifŞ1_ (0, 0_2112x2112) -6,-6---6,-6 	46317	Dʙ₍ɢ₎ = Local Connected Fractal Dimension Binary; No filters; white; Save Results	(-)regression line slope for ln(Y₍ø₎) vs ln(ø) ∀ ø∈Ø	Y₍ɢ,ø₎ = Foreground pixels (F) per sample of size ø in connected set centered on each ɢ	1.5832	0.3102	0	1.9261	0	0	0	0	Dʍ₍ɢ₎ = Local Connected Fractal Dimension Binary; No filters; white; Save Results	(-)regression line slope for ln(Y₍ø₎) vs ln(ø) ∀ ø∈Ø	Y₍ɢ,ø₎ = F per sample of size ø centered on each ɢ	-1.6354	0.2235	-1.9261	-0	-0	0	0	0	D͞ᵪ = Local Connected Fractal Dimension Binary; No filters; white; Save Results Average Cover	1.6588	0.9985	0.0637	12.724	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	0.1069	0.4854	0	0.1581	S∕Øɴ | S = ∑λ₍ø₎ ∀ ø∈Ø	 for  Foreground Pixels (F) Per Sample at Size ø	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	1158824	Not Calculated	4460544	Oval	Not Calculated	Not Calculated	7	1	13	0	5	5	black 0	Infinity	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	
H120231220GER-05-20231222_10_30cuttifŞ1_ (0, 0_2112x2112) -6,-6---6,-6 	53593	Dʙ₍ɢ₎ = Local Connected Fractal Dimension Binary; No filters; white; Save Results	(-)regression line slope for ln(Y₍ø₎) vs ln(ø) ∀ ø∈Ø	Y₍ɢ,ø₎ = Foreground pixels (F) per sample of size ø in connected set centered on each ɢ	1.5875	0.2867	0	1.9485	0	0	0	0	Dʍ₍ɢ₎ = Local Connected Fractal Dimension Binary; No filters; white; Save Results	(-)regression line slope for ln(Y₍ø₎) vs ln(ø) ∀ ø∈Ø	Y₍ɢ,ø₎ = F per sample of size ø centered on each ɢ	-1.6437	0.1968	-1.9555	-0	-0	0	0	0	D͞ᵪ = Local Connected Fractal Dimension Binary; No filters; white; Save Results Average Cover	1.6535	0.9985	0.0631	12.6822	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	0.0951	0.4685	0	0.135	S∕Øɴ | S = ∑λ₍ø₎ ∀ ø∈Ø	 for  Foreground Pixels (F) Per Sample at Size ø	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	1339067	Not Calculated	4460544	Oval	Not Calculated	Not Calculated	7	1	13	0	5	5	black 0	Infinity	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	
H120231220GER-06-20231222_10_30cuttifŞ1_ (0, 0_2112x2112) -6,-6---6,-6 	51539	Dʙ₍ɢ₎ = Local Connected Fractal Dimension Binary; No filters; white; Save Results	(-)regression line slope for ln(Y₍ø₎) vs ln(ø) ∀ ø∈Ø	Y₍ɢ,ø₎ = Foreground pixels (F) per sample of size ø in connected set centered on each ɢ	1.6003	0.2874	0	1.9542	0	0	0	0	Dʍ₍ɢ₎ = Local Connected Fractal Dimension Binary; No filters; white; Save Results	(-)regression line slope for ln(Y₍ø₎) vs ln(ø) ∀ ø∈Ø	Y₍ɢ,ø₎ = F per sample of size ø centered on each ɢ	-1.6499	0.2022	-1.9542	-0	-0	0	0	0	D͞ᵪ = Local Connected Fractal Dimension Binary; No filters; white; Save Results Average Cover	1.6654	0.9984	0.0645	12.7752	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	0.0939	0.4732	0	0.1337	S∕Øɴ | S = ∑λ₍ø₎ ∀ ø∈Ø	 for  Foreground Pixels (F) Per Sample at Size ø	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	1290889	Not Calculated	4460544	Oval	Not Calculated	Not Calculated	7	1	13	0	5	5	black 0	Infinity	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	
H120231220GER-07-20231222_10_30cuttifŞ1_ (0, 0_2112x2112) -6,-6---6,-6 	57372	Dʙ₍ɢ₎ = Local Connected Fractal Dimension Binary; No filters; white; Save Results	(-)regression line slope for ln(Y₍ø₎) vs ln(ø) ∀ ø∈Ø	Y₍ɢ,ø₎ = Foreground pixels (F) per sample of size ø in connected set centered on each ɢ	1.6531	0.289	0	1.9597	0	0	0	0	Dʍ₍ɢ₎ = Local Connected Fractal Dimension Binary; No filters; white; Save Results	(-)regression line slope for ln(Y₍ø₎) vs ln(ø) ∀ ø∈Ø	Y₍ɢ,ø₎ = F per sample of size ø centered on each ɢ	-1.6993	0.2061	-1.9597	-0	-0	0	0	0	D͞ᵪ = Local Connected Fractal Dimension Binary; No filters; white; Save Results Average Cover	1.7168	0.9987	0.0606	13.148	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	0.0854	0.47	0	0.1232	S∕Øɴ | S = ∑λ₍ø₎ ∀ ø∈Ø	 for  Foreground Pixels (F) Per Sample at Size ø	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	1431909	Not Calculated	4460544	Oval	Not Calculated	Not Calculated	7	1	13	0	5	5	black 0	Infinity	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	
H120231220GER-08-20231222_10_30cuttifŞ1_ (0, 0_2112x2112) -6,-6---6,-6 	53026	Dʙ₍ɢ₎ = Local Connected Fractal Dimension Binary; No filters; white; Save Results	(-)regression line slope for ln(Y₍ø₎) vs ln(ø) ∀ ø∈Ø	Y₍ɢ,ø₎ = Foreground pixels (F) per sample of size ø in connected set centered on each ɢ	1.6025	0.2798	0	1.9287	0	0	0	0	Dʍ₍ɢ₎ = Local Connected Fractal Dimension Binary; No filters; white; Save Results	(-)regression line slope for ln(Y₍ø₎) vs ln(ø) ∀ ø∈Ø	Y₍ɢ,ø₎ = F per sample of size ø centered on each ɢ	-1.6529	0.1959	-1.9609	-0	-0	0	0	0	D͞ᵪ = Local Connected Fractal Dimension Binary; No filters; white; Save Results Average Cover	1.6643	0.9985	0.0638	12.7653	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	0.0901	0.4642	0	0.1256	S∕Øɴ | S = ∑λ₍ø₎ ∀ ø∈Ø	 for  Foreground Pixels (F) Per Sample at Size ø	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	1330391	Not Calculated	4460544	Oval	Not Calculated	Not Calculated	7	1	13	0	5	5	black 0	Infinity	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	Not Calculated	
